label_q,label_col,model,split,train_n,validation_n,test_n,train_positive_rate,validation_positive_rate,test_positive_rate,selected_threshold,threshold_selection_rule,notes,roc_auc,average_precision,f1,precision,recall,balanced_accuracy
80,high_dsv20_state_80,logistic_regression_balanced_tuned,validation,1454,303,303,0.29160935350756534,0.39603960396039606,0.4752475247524752,0.306895,selected_from_multi_objective_candidates,baseline,0.4622495446265938,0.3683500281615685,0.6145552560646901,0.4541832669322709,0.95,0.6006830601092896
80,high_dsv20_state_80,logistic_regression_balanced_tuned,test,1454,303,303,0.29160935350756534,0.39603960396039606,0.4752475247524752,0.306895,selected_from_multi_objective_candidates,baseline,0.5297431865828092,0.4689032148200371,0.676056338028169,0.5106382978723404,1.0,0.5660377358490566
80,high_dsv20_state_80,random_forest,validation,1454,303,303,0.29160935350756534,0.39603960396039606,0.4752475247524752,0.296666,selected_from_multi_objective_candidates,,0.6440346083788706,0.6275859697365272,0.6048387096774194,0.5859375,0.625,0.667691256830601
80,high_dsv20_state_80,random_forest,test,1454,303,303,0.29160935350756534,0.39603960396039606,0.4752475247524752,0.296666,selected_from_multi_objective_candidates,,0.662168064290706,0.6207533100820667,0.6222222222222222,0.5730994152046783,0.6805555555555556,0.6107180293501049
80,high_dsv20_state_80,extra_trees,validation,1454,303,303,0.29160935350756534,0.39603960396039606,0.4752475247524752,0.0,selected_from_multi_objective_candidates,,0.6168488160291439,0.6287011040019688,0.5673758865248227,0.39603960396039606,1.0,0.5
80,high_dsv20_state_80,extra_trees,test,1454,303,303,0.29160935350756534,0.39603960396039606,0.4752475247524752,0.0,selected_from_multi_objective_candidates,,0.6145178197064989,0.5573980215656598,0.6442953020134228,0.4752475247524752,1.0,0.5
80,high_dsv20_state_80,gradient_boosting,validation,1454,303,303,0.29160935350756534,0.39603960396039606,0.4752475247524752,0.301128,selected_from_multi_objective_candidates,,0.6861338797814208,0.6457230082577999,0.6302521008403361,0.635593220338983,0.625,0.6950136612021858
80,high_dsv20_state_80,gradient_boosting,test,1454,303,303,0.29160935350756534,0.39603960396039606,0.4752475247524752,0.301128,selected_from_multi_objective_candidates,,0.6180118798043326,0.5901646121981741,0.5827814569536424,0.5569620253164557,0.6111111111111112,0.5854297693920336
80,high_dsv20_state_80,hist_gradient_boosting,validation,1454,303,303,0.29160935350756534,0.39603960396039606,0.4752475247524752,0.0,selected_from_multi_objective_candidates,,0.562568306010929,0.562344031390736,0.5673758865248227,0.39603960396039606,1.0,0.5
80,high_dsv20_state_80,hist_gradient_boosting,test,1454,303,303,0.29160935350756534,0.39603960396039606,0.4752475247524752,0.0,selected_from_multi_objective_candidates,,0.6071802935010482,0.5406358658057351,0.6442953020134228,0.4752475247524752,1.0,0.5
80,high_dsv20_state_80,svc_rbf,validation,1454,303,303,0.29160935350756534,0.39603960396039606,0.4752475247524752,0.123345,selected_from_multi_objective_candidates,,0.584927140255009,0.4880539696015281,0.6086956521739131,0.4666666666666667,0.875,0.6096311475409836
80,high_dsv20_state_80,svc_rbf,test,1454,303,303,0.29160935350756534,0.39603960396039606,0.4752475247524752,0.123345,selected_from_multi_objective_candidates,,0.5416229909154437,0.5794398258429724,0.5989583333333334,0.4791666666666667,0.7986111111111112,0.5062237945492662
80,high_dsv20_state_80,linear_svc_calibrated,validation,1454,303,303,0.29160935350756534,0.39603960396039606,0.4752475247524752,0.248746,selected_from_multi_objective_candidates,,0.470264116575592,0.34691141467610465,0.6055555555555555,0.45416666666666666,0.9083333333333333,0.5962431693989071
